id,base_correctness,lora_correctness,base_completeness,lora_completeness,base_runnability,lora_runnability,base_explanation,lora_explanation
Q1,0.0,5.0,4.0,5.0,1.0,5.0,0.5,4.0
Q2,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
Q3,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
Q4,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0
Q5,0.0,0.0,4.0,4.0,1.0,1.0,0.5,0.5
Q6,0.0,0.0,3.0,5.0,3.0,3.0,4.0,4.0
Q7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Q8,0.0,0.0,4.0,4.0,1.0,1.0,4.0,0.5
Q9,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0
Q10,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
